Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,6,maps/8planets/map2.txt,2
java AdaptiveBot,5,maps/8planets/map3.txt,2
java AdaptiveBot,10,maps/8planets/map2.txt,1
java AdaptiveBot,13,maps/8planets/map3.txt,1
java AdaptiveBot,7,maps/8planets/map1.txt,1
java AdaptiveBot,6,maps/8planets/map1.txt,2
java BeamBot,6,maps/8planets/map1.txt,1
java BeamBot,6,maps/8planets/map1.txt,1
java BullyBot,6,maps/8planets/map3.txt,2
java BullyBot,9,maps/8planets/map3.txt,1
java BullyBot,6,maps/8planets/map2.txt,2
java BullyBot,6,maps/8planets/map1.txt,1
java BullyBot,10,maps/8planets/map2.txt,1
java BullyBot,8,maps/8planets/map1.txt,2
java GreedyBot,10,maps/8planets/map3.txt,2
java GreedyBot,10,maps/8planets/map3.txt,1
java GreedyBot,6,maps/8planets/map1.txt,1
java LookaheadBot,7,maps/8planets/map3.txt,2
java LookaheadBot,7,maps/8planets/map2.txt,2
java LookaheadBot,6,maps/8planets/map1.txt,2
java MMBot,5,maps/8planets/map1.txt,3
java MMBot,6,maps/8planets/map1.txt,2
java RandomBot,6,maps/8planets/map1.txt,2
java RandomBot,7,maps/8planets/map1.txt,2
java RandomBot,7,maps/8planets/map2.txt,2
java RandomBot,6,maps/8planets/map3.txt,2
java RandomBot,9,maps/8planets/map3.txt,2
java RandomBot,7,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,9,maps/8planets/map1.txt,1
