Opponent,Turns,Map,Avarage turn time
java BeamBot,11,maps/8planets/map2.txt,1
java BeamBot,11,maps/8planets/map2.txt,1
java GreedyBot,7,maps/8planets/map1.txt,1
java GreedyBot,8,maps/8planets/map2.txt,1
java GreedyBot,8,maps/8planets/map2.txt,1
java LookaheadBot,7,maps/8planets/map3.txt,1
java LookaheadBot,7,maps/8planets/map2.txt,1
java LookaheadBot,6,maps/8planets/map1.txt,1
java MMBot,12,maps/8planets/map2.txt,1
java MMBot,10,maps/8planets/map3.txt,2
java MMBot,10,maps/8planets/map3.txt,2
java MMBot,12,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,9,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,9,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,8,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,7,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,8,maps/8planets/map3.txt,1
java SuperBullyBot,7,maps/8planets/map1.txt,1
java SuperBullyBot,9,maps/8planets/map2.txt,1
java SuperBullyBot,8,maps/8planets/map3.txt,1
java SuperBullyBot,9,maps/8planets/map2.txt,1
java SuperBullyBot,8,maps/8planets/map3.txt,1
java SuperBullyBot,7,maps/8planets/map1.txt,1
