Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,6,maps/8planets/map1.txt,1
java AdaptiveBot,8,maps/8planets/map1.txt,1
java AdaptiveBot,7,maps/8planets/map3.txt,1
java AdaptiveBot,5,maps/8planets/map3.txt,1
java AdaptiveBot,10,maps/8planets/map2.txt,0
java AdaptiveBot,10,maps/8planets/map2.txt,0
java BeamBot,6,maps/8planets/map1.txt,1
java BeamBot,6,maps/8planets/map1.txt,1
java BullyBot,10,maps/8planets/map2.txt,0
java BullyBot,10,maps/8planets/map2.txt,0
java BullyBot,8,maps/8planets/map3.txt,1
java BullyBot,8,maps/8planets/map3.txt,1
java BullyBot,8,maps/8planets/map1.txt,1
java BullyBot,6,maps/8planets/map1.txt,1
java GreedyBot,13,maps/8planets/map1.txt,1
java GreedyBot,6,maps/8planets/map1.txt,2
java LookaheadBot,9,maps/8planets/map2.txt,0
java LookaheadBot,9,maps/8planets/map2.txt,0
java LookaheadBot,8,maps/8planets/map3.txt,1
java LookaheadBot,7,maps/8planets/map1.txt,1
java LookaheadBot,8,maps/8planets/map3.txt,0
java MMBot,5,maps/8planets/map1.txt,2
java MMBot,6,maps/8planets/map1.txt,2
java RandomBot,6,maps/8planets/map3.txt,1
java RandomBot,7,maps/8planets/map1.txt,1
java RandomBot,6,maps/8planets/map1.txt,1
java RandomBot,7,maps/8planets/map2.txt,0
java RandomBot,3,maps/8planets/map2.txt,2
java RandomBot,6,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,8,maps/8planets/map1.txt,1
