Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,9,maps/8planets/map2.txt,0
java AdaptiveBot,13,maps/8planets/map1.txt,0
java BeamBot,13,maps/8planets/map1.txt,0
java BeamBot,13,maps/8planets/map2.txt,0
java BeamBot,10,maps/8planets/map3.txt,0
java BeamBot,34,maps/8planets/map2.txt,0
java BeamBot,13,maps/8planets/map1.txt,0
java BullyBot,9,maps/8planets/map3.txt,0
java BullyBot,9,maps/8planets/map2.txt,0
java BullyBot,10,maps/8planets/map1.txt,0
java GreedyBot,9,maps/8planets/map3.txt,0
java GreedyBot,10,maps/8planets/map2.txt,0
java GreedyBot,8,maps/8planets/map1.txt,0
java GreedyBot,9,maps/8planets/map1.txt,0
java GreedyBot,9,maps/8planets/map3.txt,0
java LookaheadBot,6,maps/8planets/map3.txt,0
java LookaheadBot,9,maps/8planets/map3.txt,0
java LookaheadBot,6,maps/8planets/map2.txt,0
java LookaheadBot,6,maps/8planets/map1.txt,0
java LookaheadBot,10,maps/8planets/map2.txt,0
java LookaheadBot,8,maps/8planets/map1.txt,0
java MMBot,8,maps/8planets/map3.txt,0
java MMBot,8,maps/8planets/map2.txt,0
java MMBot,9,maps/8planets/map3.txt,1
java MMBot,10,maps/8planets/map2.txt,0
java MMBot,18,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,10,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,10,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,8,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,8,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,8,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,6,maps/8planets/map1.txt,0
java SuperBullyBot,8,maps/8planets/map1.txt,0
java SuperBullyBot,10,maps/8planets/map2.txt,0
java SuperBullyBot,8,maps/8planets/map3.txt,0
java SuperBullyBot,10,maps/8planets/map2.txt,0
java SuperBullyBot,8,maps/8planets/map1.txt,0
java SuperBullyBot,8,maps/8planets/map3.txt,0
