opponent;Turns;Map;Avarage turn time
java RandomBot;19;maps/8planets/map3.txt;1
java BullyBot;22;maps/8planets/map1.txt;1
java BullyBot;21;maps/8planets/map3.txt;1
java BullyBot;19;maps/8planets/map1.txt;1
java BullyBot;29;maps/8planets/map2.txt;0
java AdaptiveBot;46;maps/8planets/map1.txt;1
java LookaheadBot;20;maps/8planets/map1.txt;2
java LookaheadBot;15;maps/8planets/map3.txt;1
java LookaheadBot;19;maps/8planets/map2.txt;1
java LookaheadBot;8;maps/8planets/map3.txt;3
java LookaheadBot;17;maps/8planets/map1.txt;1
java SuperBullyBot;10;maps/8planets/map3.txt;2
java SuperBullyBot;11;maps/8planets/map3.txt;2
java SuperBullyBot;11;maps/8planets/map2.txt;2
java SuperBullyBot;11;maps/8planets/map1.txt;2
java SuperBullyBot;12;maps/8planets/map1.txt;2
java SuperBullyBot;12;maps/8planets/map2.txt;2
java GreedyBot;13;maps/8planets/map1.txt;2
java GreedyBot;12;maps/8planets/map2.txt;1
java GreedyBot;29;maps/8planets/map2.txt;0
java GreedyBot;10;maps/8planets/map3.txt;3
java GreedyBot;12;maps/8planets/map1.txt;1
java MMBot;15;maps/8planets/map1.txt;1
java MMBot;22;maps/8planets/map2.txt;0
java MMBot;12;maps/8planets/map3.txt;1
java MMBot;17;maps/8planets/map2.txt;1
java MMBot;28;maps/8planets/map1.txt;1
java SimpleAdaptiveBot;12;maps/8planets/map1.txt;1
java SimpleAdaptiveBot;11;maps/8planets/map1.txt;2
java SimpleAdaptiveBot;9;maps/8planets/map3.txt;2
java SimpleAdaptiveBot;11;maps/8planets/map2.txt;1
java SimpleAdaptiveBot;12;maps/8planets/map2.txt;1
java SimpleAdaptiveBot;8;maps/8planets/map3.txt;3
