Opponent,Turns,Map,Avarage turn time
java BullyBot,23,maps/8planets/map2.txt,1
java AdaptiveBot,23,maps/8planets/map2.txt,1
java LookaheadBot,20,maps/8planets/map2.txt,1
java LookaheadBot,14,maps/8planets/map3.txt,1
java LookaheadBot,18,maps/8planets/map1.txt,1
java SuperBullyBot,12,maps/8planets/map1.txt,1
java SuperBullyBot,11,maps/8planets/map3.txt,1
java SuperBullyBot,11,maps/8planets/map2.txt,1
java SuperBullyBot,14,maps/8planets/map2.txt,1
java SuperBullyBot,11,maps/8planets/map1.txt,1
java SuperBullyBot,14,maps/8planets/map3.txt,1
java GreedyBot,14,maps/8planets/map2.txt,1
java GreedyBot,12,maps/8planets/map1.txt,1
java GreedyBot,12,maps/8planets/map3.txt,1
java MMBot,30,maps/8planets/map3.txt,1
java MMBot,29,maps/8planets/map3.txt,1
java MMBot,31,maps/8planets/map2.txt,1
java MMBot,27,maps/8planets/map1.txt,1
java MMBot,44,maps/8planets/map2.txt,1
java MMBot,26,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,11,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,14,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,12,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,13,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,14,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,11,maps/8planets/map2.txt,1
