opponent;Turns;Map;Avarage turn time
java RandomBot;27;maps/8planets/map2.txt;1
java RandomBot;18;maps/8planets/map1.txt;1
java RandomBot;18;maps/8planets/map2.txt;1
java RandomBot;23;maps/8planets/map1.txt;1
java RandomBot;13;maps/8planets/map3.txt;2
java BullyBot;29;maps/8planets/map2.txt;1
java BullyBot;29;maps/8planets/map3.txt;0
java AdaptiveBot;29;maps/8planets/map2.txt;0
java AdaptiveBot;59;maps/8planets/map3.txt;1
java LookaheadBot;23;maps/8planets/map2.txt;1
java GreedyBot;26;maps/8planets/map3.txt;1
java MMBot;26;maps/8planets/map3.txt;1
